lga,population,no_of_households,average_household_size,trips_av_weekday,trips_av_weekend,trips_per_person_weekday,trips_per_person_weekend,trips_per_household_weekday,trips_per_household_weekend,commute1,work_related_business1,education_child_care1,shopping,personal_business1,social_recreation1,serve_passenger1,other,vehicle_driver1,vehicle_passenger1,train1,bus1,walk_only1,other_modes1,commute2,work_related_business2,education_child_care2,shopping2,personal_business2,social_recreation2,serve_passenger2,other2,vehicle_driver2,vehicle_passenger2,train2,bus2,walk_only2,walk_linked5_2,other_modes2,commute3,work_related_business3,education_child_care3,shopping3,personal_business3,social_recreation3,serve_passenger3,other3,vehicle_driver3,vehicle_passenger3,train3,bus3,walk_only3,other_modes3,commute4,work_related_business4,education_child_care4,shopping4,personal_business4,social_recreation4,serve_passenger4,other4,vehicle_driver4,vehicle_passenger4,train4,bus4,walk_only4,walk_linked5_4,other_modes4,private_vehicles,vehicles_per_household,total_travel,total_travel_per_capita,av_trip_length,Vehicle_travel_(VKT),vkt_per_capita,av_work_trip_duration,av_non_work_trip_duration,av_trip_duration_all_purposes,daily_travel_time_per_capita
Manningham (C),113000,39000,2.9,382312,390927,3.4,3.5,9.8,10.0,95000,47000,32000,83000,30000,106000,60000,70000,221000,108000,7000,18000,81000,6000,1010000,596000,315000,584000,306000,996000,434000,647000,2142000,1011000,97000,171000,55000,443,49000,0.25,0.12,0.08,0.21,0.08,0.27,0.16,0.18,0.50,0.25,0.01,0.04,0.18,0.01,0.21,0.12,0.06,0.12,0.06,0.20,0.09,0.13,0.61,0.29,0.03,0.05,0.02,0.0001,0.01,767000,2.2,387000,34.1,1.0,19660,1.7,29,18,20,70
Maribyrnong (C),64000,26000,2.4,214131,202874,3.4,3.2,8.2,7.8,56000,30000,22000,43000,19000,69000,20000,32000,98000,43000,17000,10000,85000,19000,492000,267000,134000,146000,124000,592000,145000,199000,802000,381000,133000,42000,61000,1716,87000,0.27,0.15,0.11,0.21,0.09,0.34,0.10,0.15,0.36,0.16,0.06,0.04,0.31,0.07,0.23,0.13,0.06,0.07,0.06,0.28,0.07,0.09,0.53,0.25,0.09,0.03,0.04,0.0011,0.06,289000,1.7,207000,35.5,1.0,7383,1.3,27,20,22,71
Maroondah (C),95000,37000,2.6,343783,298303,3.6,3.1,9.3,8.1,86000,44000,38000,74000,35000,85000,42000,60000,189000,88000,12000,7000,65000,6000,1133000,667000,364000,357000,340000,837000,288000,372000,1735000,762000,274000,54000,56000,461,10000,0.26,0.13,0.11,0.22,0.10,0.26,0.13,0.18,0.52,0.24,0.03,0.02,0.18,0.02,0.26,0.15,0.08,0.08,0.08,0.19,0.07,0.09,0.60,0.26,0.09,0.02,0.02,0.0002,0.00,563000,2.1,330000,34.6,1.0,15316,1.6,29,16,19,67
Melbourne (C),61000,34000,1.8,277118,328546,4.5,5.4,8.2,9.7,105000,55000,28000,58000,26000,99000,20000,37000,84000,22000,9000,3000,225000,58000,522000,293000,236000,156000,202000,526000,196000,287000,865000,185000,212000,9000,162000,742,155000,0.35,0.18,0.09,0.20,0.09,0.33,0.07,0.12,0.21,0.05,0.02,0.01,0.56,0.15,0.22,0.12,0.10,0.06,0.08,0.22,0.08,0.12,0.54,0.12,0.13,0.01,0.10,0.0005,0.10,233000,1.2,297000,86.2,1.0,3879,1.1,21,21,21,102
Melton (S),87000,30000,2.9,281863,295548,3.3,3.4,9.4,9.9,80000,40000,29000,51000,30000,72000,36000,64000,160000,99000,13000,4000,42000,6000,1538000,936000,291000,383000,282000,714000,287000,602000,2236000,867000,282000,31000,33000,600,19000,0.28,0.14,0.10,0.18,0.10,0.25,0.13,0.22,0.49,0.30,0.04,0.01,0.13,0.02,0.31,0.19,0.06,0.08,0.06,0.14,0.06,0.12,0.64,0.25,0.08,0.01,0.01,0.0002,0.01,503000,2.2,287000,47.9,1.0,12411,2.1,39,16,22,72
Mitchell (S),22000,7000,3.1,85403,32280,3.9,1.5,11.9,4.5,33000,13000,5000,12000,4000,14000,14000,14000,46000,27000,3000,2000,12000,2000,704000,270000,40000,146000,29000,140000,111000,149000,697000,422000,65000,50000,6000,153,4000,0.41,0.16,0.06,0.15,0.05,0.17,0.17,0.17,0.50,0.29,0.03,0.03,0.13,0.02,0.44,0.17,0.02,0.09,0.02,0.09,0.07,0.09,0.56,0.34,0.05,0.04,0.00,0.0001,0.00,202000,2.9,81000,56.8,1.0,3378,2.4,29,17,21,75
Monash (C),162000,60000,2.7,500015,447485,3.1,2.8,8.4,7.5,142000,68000,48000,105000,45000,136000,55000,70000,285000,117000,25000,12000,117000,15000,1532000,791000,346000,731000,321000,1311000,362000,582000,2508000,1108000,374000,89000,86000,1336,76000,0.29,0.14,0.10,0.22,0.09,0.28,0.12,0.15,0.50,0.20,0.04,0.02,0.20,0.03,0.26,0.13,0.06,0.12,0.05,0.22,0.06,0.10,0.59,0.26,0.09,0.02,0.02,0.0003,0.02,879000,2.1,481000,39.5,1.0,18610,1.5,28,19,21,62
Moonee Valley (C),107000,42000,2.5,369818,318037,3.4,3.0,8.8,7.5,108000,49000,39000,78000,37000,102000,42000,54000,176000,78000,25000,12000,136000,32000,1151000,464000,288000,360000,508000,1113000,232000,585000,1830000,754000,206000,46000,95000,1961,142000,0.31,0.14,0.11,0.22,0.11,0.29,0.12,0.15,0.38,0.17,0.05,0.03,0.30,0.07,0.24,0.10,0.06,0.08,0.11,0.24,0.05,0.12,0.60,0.25,0.07,0.01,0.03,0.0006,0.05,583000,1.9,354000,40.7,1.0,11903,1.4,29,20,22,73
Moorabool (S),18000,6000,3.0,62677,24871,3.5,1.4,10.7,4.2,14000,11000,5000,11000,5000,11000,6000,10000,35000,15000,1000,1000,5000,0,329000,279000,28000,102000,28000,107000,51000,62000,514000,187000,31000,50000,4000,0,1000,0.27,0.20,0.10,0.20,0.10,0.21,0.10,0.20,0.61,0.26,0.02,0.02,0.09,0.01,0.33,0.28,0.03,0.10,0.03,0.11,0.05,0.06,0.65,0.24,0.04,0.06,0.00,0.0000,0.00,89000,2.0,54000,59.8,1.0,3073,3.4,32,15,20,59
Moreland (C),129000,54000,2.4,501339,441119,3.9,3.4,9.3,8.2,132000,63000,59000,88000,53000,156000,55000,71000,227000,111000,18000,10000,154000,59000,1088000,618000,497000,507000,457000,1177000,286000,651000,1933000,970000,220000,45000,102000,1632,265000,0.28,0.13,0.13,0.19,0.11,0.33,0.12,0.15,0.39,0.19,0.03,0.02,0.27,0.10,0.21,0.12,0.09,0.10,0.09,0.22,0.05,0.12,0.55,0.27,0.06,0.01,0.03,0.0005,0.07,673000,1.7,471000,67.3,1.0,8701,1.2,29,19,21,77
Mornington Peninsula (S),122000,51000,2.4,476483,398694,3.9,3.3,9.3,7.8,116000,57000,63000,119000,62000,138000,47000,71000,302000,110000,4000,16000,52000,8000,1994000,1043000,699000,944000,700000,1591000,453000,752000,3901000,1152000,93000,180000,38000,814,47000,0.26,0.13,0.14,0.26,0.14,0.30,0.10,0.16,0.61,0.22,0.01,0.03,0.11,0.02,0.24,0.13,0.09,0.12,0.09,0.19,0.06,0.09,0.72,0.21,0.02,0.03,0.01,0.0002,0.01,729000,2.1,455000,74.1,1.0,17818,2.9,26,18,20,74
Nillumbik (S),63000,19000,3.3,218363,212100,3.5,3.4,11.5,11.1,56000,29000,24000,44000,23000,63000,30000,36000,130000,62000,9000,5000,36000,3000,748000,508000,219000,379000,199000,814000,245000,420000,1549000,754000,198000,30000,32000,543,16000,0.26,0.13,0.11,0.20,0.11,0.29,0.14,0.17,0.53,0.25,0.04,0.02,0.15,0.01,0.21,0.14,0.06,0.11,0.06,0.23,0.07,0.12,0.60,0.29,0.08,0.01,0.01,0.0002,0.01,471000,2.4,217000,22.0,1.0,20303,2.1,35,20,23,81
Port Phillip (C),71000,39000,1.8,323269,337950,4.5,4.7,8.2,8.6,95000,58000,35000,69000,32000,112000,27000,46000,135000,45000,17000,6000,182000,53000,770000,544000,260000,250000,236000,599000,169000,314000,1117000,505000,124000,34000,127000,1064,230000,0.29,0.18,0.11,0.21,0.10,0.34,0.08,0.14,0.31,0.10,0.04,0.01,0.42,0.12,0.25,0.17,0.08,0.08,0.08,0.19,0.05,0.10,0.52,0.24,0.06,0.02,0.06,0.0005,0.11,317000,1.3,327000,65.1,1.0,7062,1.4,29,19,22,100
Stonnington (C),86000,38000,2.3,333671,331152,3.9,3.9,8.8,8.8,86000,47000,40000,77000,38000,116000,24000,54000,147000,64000,33000,4000,176000,35000,708000,423000,402000,287000,397000,973000,106000,327000,1214000,602000,292000,22000,101000,1164,132000,0.26,0.14,0.12,0.23,0.11,0.35,0.07,0.16,0.32,0.14,0.07,0.01,0.38,0.08,0.20,0.12,0.11,0.08,0.11,0.27,0.03,0.09,0.51,0.25,0.12,0.01,0.04,0.0005,0.06,454000,1.6,336000,38.0,1.0,9492,1.1,26,20,21,84
Whitehorse (C),146000,56000,2.6,519245,455328,3.6,3.1,9.3,8.2,140000,67000,44000,108000,39000,148000,73000,68000,301000,123000,20000,17000,105000,18000,1556000,1055000,364000,540000,333000,2012000,434000,463000,2790000,1191000,339000,447000,76000,1280,123000,0.28,0.13,0.09,0.21,0.08,0.29,0.15,0.14,0.52,0.21,0.03,0.03,0.18,0.03,0.23,0.16,0.05,0.08,0.05,0.30,0.06,0.07,0.56,0.24,0.07,0.09,0.02,0.0003,0.02,834000,1.9,503000,50.4,1.0,15197,1.5,33,18,21,74
Whittlesea (C),134000,45000,3.0,400036,332279,3.0,2.5,9.0,7.5,119000,54000,36000,82000,32000,103000,40000,55000,220000,106000,9000,11000,64000,7000,1503000,893000,283000,542000,272000,1057000,312000,472000,2448000,1061000,171000,87000,44000,811,19000,0.32,0.15,0.10,0.22,0.09,0.28,0.11,0.15,0.53,0.26,0.02,0.03,0.15,0.02,0.28,0.17,0.05,0.10,0.05,0.20,0.06,0.09,0.64,0.28,0.04,0.02,0.01,0.0002,0.00,704000,2.2,374000,42.1,1.0,16367,1.8,32,18,22,61
Wyndham (C),129000,44000,2.9,471651,392663,3.7,3.1,10.7,8.9,152000,70000,40000,72000,34000,99000,85000,76000,253000,134000,20000,14000,86000,10000,2437000,1193000,414000,447000,374000,979000,772000,647000,2972000,1226000,448000,219000,63000,1339,41000,0.34,0.16,0.09,0.16,0.08,0.22,0.19,0.17,0.49,0.26,0.04,0.03,0.17,0.02,0.34,0.16,0.06,0.06,0.05,0.13,0.11,0.09,0.60,0.25,0.09,0.04,0.01,0.0003,0.01,758000,2.1,444000,59.1,1.0,15261,2.0,32,17,21,73
Yarra (C),65000,31000,2.1,263359,293003,4.0,4.5,8.5,9.5,82000,43000,30000,63000,27000,91000,13000,38000,86000,39000,14000,3000,161000,51000,493000,334000,225000,181000,219000,654000,86000,146000,780000,337000,122000,26000,100000,949,165000,0.30,0.16,0.11,0.24,0.10,0.34,0.05,0.14,0.24,0.11,0.04,0.01,0.45,0.15,0.21,0.14,0.10,0.08,0.09,0.28,0.04,0.06,0.51,0.22,0.08,0.02,0.07,0.0006,0.11,283000,1.3,268000,41.0,1.0,7332,1.1,26,19,21,85
Yarra Ranges (S),132000,48000,2.7,503149,509364,3.8,3.9,10.4,10.5,129000,72000,48000,112000,47000,139000,64000,89000,315000,131000,16000,10000,63000,9000,1868000,1296000,367000,733000,369000,1526000,625000,684000,3643000,1122000,394000,64000,57000,564,35000,0.26,0.15,0.10,0.23,0.10,0.28,0.13,0.18,0.58,0.24,0.03,0.02,0.12,0.02,0.25,0.17,0.05,0.10,0.05,0.20,0.08,0.09,0.69,0.21,0.07,0.01,0.01,0.0001,0.01,911000,2.3,496000,52.2,1.0,21826,2.3,30,18,21,78
