LGA Profiler
Source: 2010/11 Household Travel Survey
Bureau of Transport Statistics
,,Ashfield,Auburn,Bankstown,Blacktown,Botany Bay,Burwood,Camden,Campbelltown,Canada Bay,Canterbury,Fairfield,Holroyd,Hornsby,Hurstville,Kogarah,Ku-ring-gai,Lane Cove,Leichhardt,Liverpool,Manly,Marrickville,Mosman,North Sydney,Parramatta,Penrith,Pittwater,Randwick,Rockdale,Ryde,Strathfield,Sutherland Shire,Sydney,Warringah,Willoughby,Waverley,Woollahra
,Train,112000,493000,683000,1106000,37000,187000,142000,630000,157000,336000,824000,405000,827000,384000,255000,572000,38000,52000,595000,28000,183000,0,128000,796000,624000,15000,89000,488000,339000,135000,974000,383000,63000,172000,65000,68000
,Bus,40000,22000,80000,310000,140000,35000,38000,109000,76000,121000,164000,78000,213000,36000,35000,62000,80000,141000,163000,144000,113000,82000,94000,195000,115000,120000,315000,85000,239000,20000,89000,259000,353000,86000,114000,65000
,Walk_only,38000,50000,81000,148000,21000,18000,12000,44000,51000,72000,87000,43000,91000,31000,22000,65000,31000,61000,59000,35000,72000,27000,84000,89000,70000,41000,107000,45000,58000,19000,100000,312000,61000,62000,70000,55000
,Walk_linked5,30000,54000,59000,118000,19000,27000,10000,52000,40000,63000,85000,51000,79000,37000,28000,68000,23000,52000,67000,39000,63000,30000,54000,99000,51000,44000,65000,58000,69000,20000,81000,152000,60000,43000,41000,38000
,Other_modes,24000,10000,103000,127000,23000,11000,52000,101000,70000,35000,86000,52000,54000,14000,2000,97000,18000,87000,57000,144000,58000,46000,61000,98000,32000,106000,63000,15000,61000,12000,99000,156000,129000,95000,73000,77000
Purpose of travel (trips %),Commute,0.17,0.13,0.15,0.17,0.15,0.2,0.15,0.17,0.14,0.15,0.19,0.17,0.15,0.15,0.18,0.14,0.13,0.17,0.15,0.15,0.21,0.13,0.2,0.19,0.15,0.13,0.15,0.17,0.19,0.19,0.14,0.2,0.14,0.14,0.14,0.14
,Work_related_business,0.06,0.1,0.06,0.11,0.06,0.08,0.1,0.07,0.09,0.05,0.07,0.1,0.07,0.1,0.09,0.06,0.07,0.1,0.11,0.15,0.08,0.06,0.07,0.1,0.12,0.09,0.09,0.1,0.08,0.09,0.09,0.07,0.06,0.05,0.07,0.08
,Education_childcare,0.06,0.12,0.09,0.1,0.08,0.1,0.1,0.1,0.08,0.08,0.11,0.13,0.09,0.08,0.07,0.09,0.07,0.07,0.11,0.07,0.06,0.07,0.04,0.09,0.11,0.07,0.07,0.11,0.07,0.08,0.08,0.06,0.08,0.07,0.06,0.04
,Shopping,0.19,0.17,0.15,0.15,0.14,0.17,0.13,0.17,0.16,0.17,0.16,0.15,0.16,0.14,0.13,0.17,0.15,0.19,0.16,0.12,0.16,0.13,0.18,0.16,0.14,0.15,0.16,0.17,0.18,0.17,0.15,0.18,0.17,0.16,0.16,0.16
,Personal_business,0.08,0.06,0.07,0.05,0.07,0.07,0.05,0.06,0.08,0.07,0.06,0.07,0.07,0.05,0.06,0.06,0.09,0.06,0.06,0.08,0.07,0.08,0.07,0.06,0.07,0.09,0.05,0.07,0.05,0.07,0.07,0.07,0.09,0.09,0.07,0.08
,Social_recreation,0.27,0.19,0.21,0.18,0.25,0.24,0.25,0.18,0.21,0.26,0.18,0.18,0.26,0.23,0.23,0.25,0.27,0.28,0.21,0.24,0.25,0.3,0.28,0.19,0.19,0.26,0.28,0.15,0.24,0.2,0.27,0.27,0.25,0.27,0.31,0.29
,Serve_passenger,0.15,0.19,0.24,0.23,0.22,0.13,0.18,0.22,0.19,0.2,0.2,0.17,0.18,0.24,0.19,0.2,0.17,0.09,0.2,0.16,0.13,0.17,0.09,0.2,0.2,0.18,0.15,0.21,0.15,0.17,0.17,0.07,0.17,0.19,0.15,0.14
,Other,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.04,0.04,0.04,0.05,0.02,0.04,0.04,0.06,0.07,0.02,0.02,0.04,0.04,0.02,0.03,0.03,0.04,0.08,0.04,0.04,0.04,0.06
Mode of travel (trips %),Vehicle_driver,0.41,0.45,0.5,0.52,0.42,0.43,0.6,0.53,0.49,0.47,0.51,0.5,0.52,0.51,0.52,0.51,0.42,0.31,0.55,0.43,0.37,0.37,0.32,0.5,0.57,0.51,0.4,0.46,0.47,0.46,0.53,0.22,0.53,0.41,0.38,0.41
,Vehicle_passenger,0.16,0.19,0.25,0.25,0.22,0.15,0.26,0.26,0.2,0.23,0.25,0.2,0.2,0.24,0.21,0.2,0.17,0.12,0.24,0.17,0.13,0.18,0.12,0.21,0.25,0.2,0.21,0.19,0.23,0.16,0.23,0.07,0.21,0.21,0.15,0.14
,Train,0.08,0.13,0.06,0.04,0.01,0.13,0.02,0.04,0.04,0.06,0.06,0.06,0.07,0.09,0.08,0.08,0.03,0.02,0.04,0.01,0.09,0,0.07,0.07,0.03,0,0.01,0.12,0.06,0.11,0.05,0.06,0.01,0.06,0.04,0.04
,Bus,0.06,0.02,0.03,0.04,0.12,0.07,0.03,0.04,0.04,0.05,0.04,0.05,0.03,0.03,0.03,0.03,0.09,0.12,0.05,0.09,0.08,0.12,0.07,0.05,0.03,0.04,0.1,0.06,0.07,0.05,0.02,0.1,0.07,0.05,0.09,0.06
,Walk_only,0.28,0.2,0.15,0.12,0.2,0.19,0.08,0.1,0.2,0.18,0.13,0.16,0.15,0.13,0.15,0.17,0.26,0.36,0.11,0.22,0.28,0.26,0.38,0.15,0.12,0.17,0.25,0.15,0.15,0.21,0.14,0.5,0.16,0.24,0.29,0.3
,Other_modes,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0.01,0.02,0.02,0.01,0,0.02,0.03,0.07,0.01,0.08,0.04,0.07,0.04,0.01,0.01,0.08,0.03,0.01,0.02,0.01,0.02,0.05,0.03,0.03,0.06,0.05
Purpose of travel (distance %),Commute,0.28,0.29,0.29,0.29,0.18,0.28,0.24,0.34,0.25,0.28,0.34,0.3,0.28,0.27,0.26,0.24,0.21,0.29,0.23,0.27,0.32,0.24,0.29,0.33,0.27,0.26,0.24,0.28,0.3,0.37,0.27,0.33,0.24,0.21,0.27,0.23
,Work_related_business,0.08,0.13,0.13,0.18,0.12,0.14,0.17,0.14,0.16,0.1,0.14,0.2,0.1,0.14,0.15,0.1,0.13,0.18,0.17,0.15,0.16,0.08,0.17,0.15,0.23,0.14,0.17,0.16,0.14,0.15,0.13,0.12,0.1,0.07,0.14,0.2
,Education_childcare,0.05,0.12,0.08,0.07,0.04,0.09,0.07,0.06,0.06,0.07,0.08,0.08,0.07,0.05,0.1,0.09,0.08,0.07,0.09,0.08,0.04,0.08,0.03,0.07,0.06,0.08,0.06,0.14,0.06,0.08,0.08,0.05,0.07,0.08,0.04,0.03
,Shopping,0.11,0.12,0.08,0.07,0.06,0.08,0.08,0.11,0.18,0.1,0.1,0.08,0.1,0.11,0.09,0.12,0.12,0.1,0.09,0.06,0.09,0.1,0.08,0.09,0.08,0.08,0.11,0.07,0.1,0.08,0.1,0.09,0.11,0.09,0.11,0.08
,Personal_business,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.06,0.05,0.05,0.06,0.05,0.02,0.05,0.05,0.06,0.04,0.04,0.07,0.04,0.06,0.05,0.05,0.05,0.07,0.05,0.07,0.04,0.04,0.05,0.04,0.08,0.11,0.06,0.07
,Social_recreation,0.27,0.15,0.21,0.2,0.37,0.26,0.26,0.15,0.15,0.27,0.17,0.18,0.26,0.26,0.18,0.26,0.2,0.22,0.24,0.22,0.21,0.27,0.28,0.17,0.17,0.22,0.22,0.15,0.24,0.18,0.24,0.28,0.25,0.28,0.21,0.23
,Serve_passenger,0.13,0.12,0.15,0.15,0.16,0.11,0.13,0.15,0.11,0.14,0.12,0.1,0.12,0.13,0.13,0.13,0.17,0.08,0.14,0.12,0.11,0.13,0.08,0.13,0.14,0.14,0.15,0.12,0.11,0.09,0.12,0.07,0.14,0.14,0.14,0.15
,Other,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.04,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.03,0.02
Mode of travel (distance %),Vehicle_driver,0.53,0.53,0.58,0.61,0.51,0.44,0.7,0.63,0.58,0.55,0.54,0.62,0.58,0.57,0.58,0.56,0.55,0.52,0.61,0.47,0.53,0.47,0.52,0.58,0.68,0.64,0.55,0.53,0.52,0.55,0.61,0.46,0.63,0.51,0.53,0.6
,Vehicle_passenger,0.2,0.14,0.2,0.22,0.25,0.2,0.21,0.2,0.2,0.23,0.21,0.14,0.2,0.19,0.21,0.18,0.18,0.14,0.26,0.19,0.15,0.2,0.17,0.16,0.21,0.19,0.21,0.15,0.21,0.16,0.22,0.11,0.2,0.23,0.18,0.16
,Train,0.12,0.26,0.15,0.11,0.04,0.24,0.05,0.11,0.09,0.12,0.16,0.15,0.15,0.18,0.16,0.17,0.05,0.05,0.09,0.02,0.12,0,0.09,0.16,0.08,0.01,0.03,0.22,0.12,0.19,0.12,0.13,0.02,0.1,0.05,0.05
,Bus,0.04,0.01,0.02,0.03,0.14,0.05,0.01,0.02,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.12,0.12,0.02,0.13,0.08,0.14,0.07,0.04,0.01,0.06,0.12,0.04,0.08,0.03,0.01,0.09,0.09,0.05,0.09,0.05
,Walk_only,0.04,0.03,0.02,0.01,0.02,0.02,0,0.01,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.05,0.05,0.01,0.03,0.05,0.05,0.06,0.02,0.01,0.02,0.04,0.02,0.02,0.03,0.01,0.11,0.02,0.04,0.06,0.04
,Walk_linked5,0.03,0.03,0.01,0.01,0.02,0.03,0,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.05,0.01,0.03,0.04,0.05,0.04,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.01,0.05,0.02,0.02,0.03,0.03
,Other_modes,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.04,0.01,0.02,0.02,0.01,0.01,0,0.03,0.03,0.08,0.01,0.13,0.04,0.08,0.04,0.02,0,0.05,0.02,0.01,0.02,0.02,0.01,0.05,0.03,0.05,0.06,0.06
Vehicles,Private_vehicles,20000,33000,94000,159000,20000,16000,41000,82000,46000,68000,97000,55000,97000,40000,33000,70000,20000,31000,106000,22000,37000,17000,37000,88000,118000,40000,68000,54000,62000,20000,148000,72000,96000,37000,34000,35000
,Vehicles_per_household,1.2,1.3,1.5,1.6,1.3,1.3,2.2,1.6,1.5,1.3,1.6,1.5,1.7,1.4,1.5,1.8,1.5,1.3,1.8,1.3,1.1,1.3,1.1,1.4,1.9,1.8,1.2,1.4,1.5,1.5,1.8,0.8,1.7,1.3,1.1,1.4
Distance (kms),Total_travel,896000,1930000,4449000,10410000,1011000,773000,2995000,5622000,1843000,2817000,5021000,2619000,5540000,2105000,1597000,3274000,695000,1145000,6790000,1151000,1505000,569000,1368000,4867000,8037000,2000000,2742000,2202000,2868000,698000,7865000,2923000,3931000,1736000,1252000,1251000
,Total_travel_per_capita,21.8,25.5,23.8,34.1,25.2,23.6,53.2,37,23.6,19.5,25.8,25.8,34.3,26.3,27.3,29.2,21.3,21,37,27.9,19.4,19.7,21.5,28.9,43.6,33.7,21.4,21.6,27.5,19.2,35.9,16.7,27.4,25,18.3,22.8
,Av_trip_length,6,6.6,7.3,9.9,6.8,6.7,14.5,11.2,5.7,6.1,8.5,7.7,9,7.2,7.4,7.1,5.1,4.7,11.4,5.7,5.1,4.2,5,8,11.7,7.8,5.1,6.8,7.3,6.9,8.5,3.9,7.1,5.7,4.1,4.9
,Vehicle_travel_(VKT),477000,1027000,2574000,6311000,518000,340000,2102000,3549000,1071000,1550000,2731000,1630000,3189000,1204000,925000,1834000,382000,593000,4117000,537000,795000,268000,712000,2811000,5495000,1289000,1520000,1173000,1499000,382000,4811000,1336000,2489000,881000,664000,746000
,VKT_per_capita,11.6,13.6,13.8,20.7,12.9,10.4,37.3,23.4,13.7,10.7,14,16.1,19.7,15,15.8,16.3,11.7,10.9,22.5,13,10.3,9.3,11.2,16.7,29.8,21.7,11.8,11.5,14.4,10.5,21.9,7.6,17.3,12.7,9.7,13.6
Travel time (mins),Av_work_trip_duration,35,34,36,34,34,35,36,40,30,37,35,34,35,34,32,35,27,32,36,27,34,30,30,36,35,30,30,34,33,34,33,30,30,29,31,30
,Av_non_work_trip_duration,18,18,18,19,21,20,19,18,17,18,18,18,20,17,18,18,17,16,22,18,20,17,16,19,16,18,16,19,19,19,17,16,17,18,17,16
,Av_Trip_duration_all_purposes,21,21,21,22,23,23,23,22,20,21,22,22,23,20,21,21,19,19,25,20,23,19,19,23,21,20,19,22,22,23,20,19,19,20,19,18
,Daily_travel_time_per_capita,76,82,69,77,85,82,83,73,81,68,68,73,87,73,78,85,78,87,81,99,87,89,83,82,77,86,79,71,82,63,84,83,75,87,85,86
